,match_id,player,date,year,tournament,rankdist,wikibuzz,inverse_b365,inverse_avg,inverse_best,outcome
12776,12776,Evgeniya Rodina,2015-07-02,2015.0,Wimbledon,0.02343234323432343,0.0,0.25,0.24691356861851216,0.2222222222222222,0
12785,12785,Ajla Tomljanovic,2015-07-02,2015.0,Wimbledon,0.06457739791073125,0.0,0.16666666666666666,0.18181818181818182,0.1644736862743991,0
12784,12784,Svetlana Kuznetsova,2015-07-02,2015.0,Wimbledon,-0.03253731343283582,0.0,0.8196721119254039,0.8130081174740657,0.8,0
12783,12783,Jana Cepelova,2015-07-02,2015.0,Wimbledon,0.01139937106918239,0.0,0.2857142857142857,0.28818443566425855,0.26666666666666666,0
12782,12782,Mirjana Lucic,2015-07-02,2015.0,Wimbledon,0.031481481481481485,0.0,0.3816794059846342,0.3558718933676701,0.3278688575849198,0
12781,12781,Yingying Duan,2015-07-02,2015.0,Wimbledon,0.004273504273504272,0.0,0.36363636363636365,0.3690036848426666,0.3472222084248513,0
12780,12780,Christina McHale,2015-07-02,2015.0,Wimbledon,0.03993055555555555,0.0,0.25,0.2314814722832342,0.20790021037341902,0
12779,12779,Kurumi Nara,2015-07-02,2015.0,Wimbledon,0.4824561403508772,0.0,0.07692307692307693,0.08802817167447838,0.06920415316260517,0
12778,12778,Elizaveta Kulichkova,2015-07-02,2015.0,Wimbledon,0.03844473569244211,0.0,0.2222222222222222,0.22675737746041494,0.2100840235116771,0
12777,12777,Anastasia Pavlyuchenkova,2015-07-02,2015.0,Wimbledon,0.0761904761904762,0.0,0.2,0.17921147198436385,0.15105740442404048,0
12775,12775,Alize Cornet,2015-07-02,2015.0,Wimbledon,-0.028840315725561623,0.0,0.6024096506672237,0.5952381138223105,0.5681818212605705,0
12774,12774,Lara Arruabarrena,2015-07-02,2015.0,Wimbledon,0.01948529411764706,0.0,0.15384615384615385,0.16474464113998485,0.14903129572502344,0
12773,12773,Elina Svitolina,2015-07-02,2015.0,Wimbledon,-0.04243008678881388,0.0,0.5464480746169359,0.5263157960780771,0.48780488939529254,0
12786,12786,Ekaterina Makarova,2015-07-02,2015.0,Wimbledon,-0.10961538461538461,0.0,0.7518796749870864,0.7575757274724029,0.729927004758713,0
12773,12773,Casey Dellacqua,2015-07-02,2015.0,Wimbledon,0.04243008678881388,0.0,0.5464480746169359,0.5376344044672463,0.5181347291073825,1
12775,12775,Olga Govortsova,2015-07-02,2015.0,Wimbledon,0.028840315725561623,0.0,0.47619049781574513,0.4651162584386312,0.4444444444444444,1
12776,12776,Jelena Jankovic,2015-07-02,2015.0,Wimbledon,-0.02343234323432343,0.0,0.8196721119254039,0.8130081174740657,0.7936507996578126,1
12777,12777,Angelique Kerber,2015-07-02,2015.0,Wimbledon,-0.0761904761904762,0.0,0.8620689903229801,0.8771929934634618,0.8474576647889183,1
12778,12778,Madison Keys,2015-07-02,2015.0,Wimbledon,-0.03844473569244211,0.0,0.8474576647889183,0.8333333002196431,0.8,1
12779,12779,Petra Kvitova,2015-07-02,2015.0,Wimbledon,-0.4824561403508772,0.0,0.9615384968074834,0.9615384968074834,0.9523809956314903,1
12781,12781,Tatjana Maria,2015-07-02,2015.0,Wimbledon,-0.004273504273504272,0.0,0.7142857264499277,0.6944444168497026,0.6711409353016787,1
12782,12782,Garbiñe Muguruza,2015-07-02,2015.0,Wimbledon,-0.031481481481481485,0.0,0.6944444168497026,0.704225373395827,0.6896551497342619,1
12783,12783,Monica Niculescu,2015-07-02,2015.0,Wimbledon,-0.01139937106918239,0.0,0.7812500174622987,0.7692307974459868,0.7407407276587887,1
12784,12784,Kristyna Pliskova,2015-07-02,2015.0,Wimbledon,0.03253731343283582,0.0,0.25,0.24213074389596498,0.21505375903029578,1
12785,12785,Agnieszka Radwanska,2015-07-02,2015.0,Wimbledon,-0.06457739791073125,0.0,0.8928571390558262,0.8771929934634618,0.8547008860510964,1
12786,12786,Magdalena Rybarikova,2015-07-02,2015.0,Wimbledon,0.10961538461538461,0.0,0.3076923076923077,0.30120482533361187,0.2857142857142857,1
12787,12787,Caroline Wozniacki,2015-07-02,2015.0,Wimbledon,-0.18795180722891566,0.0,0.9345793934386541,0.9345793934386541,0.9090908893868948,1
12774,12774,Camila Giorgi,2015-07-02,2015.0,Wimbledon,-0.01948529411764706,0.0,0.900900889290549,0.8928571390558262,0.8771929934634618,1
12787,12787,Denisa Allertova,2015-07-02,2015.0,Wimbledon,0.18795180722891566,0.0,0.1111111111111111,0.11560694151451426,0.10526315789473684,0
12780,12780,Sabine Lisicki,2015-07-02,2015.0,Wimbledon,-0.03993055555555555,0.0,0.8196721119254039,0.8264462549368408,0.8,1
12789,12789,Bethanie Mattek-Sands,2015-07-03,2015.0,Wimbledon,0.039125431530494824,-0.14594873056088153,0.3333333333333333,0.3289473725487982,0.29850747118444504,0
12791,12791,Sloane Stephens,2015-07-03,2015.0,Wimbledon,0.13963963963963963,-0.24241938966040286,0.4545454446934474,0.4672896967193271,0.44052863806273873,0
12792,12792,Irina-Camelia Begu,2015-07-03,2015.0,Wimbledon,0.21774193548387097,0.14620190111418058,0.09090909090909091,0.09871668200422234,0.07017543859649122,0
12793,12793,Samantha Stosur,2015-07-03,2015.0,Wimbledon,-0.022201665124884366,-0.473850427995926,0.4347826177095873,0.4464285695279131,0.41666665010982157,0
12795,12795,Heather Watson,2015-07-03,2015.0,Wimbledon,0.9830508474576272,-0.30570428394370225,0.07692307692307693,0.08163265306122448,0.058823529411764705,0
12790,12790,Andrea Petkovic,2015-07-03,2015.0,Wimbledon,-0.04201680672268907,0.2628770504429324,0.6944444168497026,0.699300724950897,0.6578947450975964,0
12795,12795,Serena Williams,2015-07-03,2015.0,Wimbledon,-0.9830508474576272,0.30570428394370225,0.9615384968074834,0.9615384968074834,0.9523809956314903,1
12788,12788,Kristina Mladenovic,2015-07-03,2015.0,Wimbledon,0.015350877192982455,-0.0582655264938181,0.26666666666666666,0.271739125505287,0.25,0
12792,12792,Maria Sharapova,2015-07-03,2015.0,Wimbledon,-0.21774193548387097,-0.14620190111418058,0.9523809956314903,0.9523809956314903,0.9345793934386541,1
12791,12791,Lucie Safarova,2015-07-03,2015.0,Wimbledon,-0.13963963963963963,0.24241938966040286,0.6024096506672237,0.5882352776180919,0.5714285714285714,1
12790,12790,Zarina Diyas,2015-07-03,2015.0,Wimbledon,0.04201680672268907,-0.2628770504429324,0.36363636363636365,0.3597122339177876,0.3333333333333333,1
12789,12789,Belinda Bencic,2015-07-03,2015.0,Wimbledon,-0.039125431530494824,0.14594873056088153,0.7142857264499277,0.729927004758713,0.6944444168497026,1
12788,12788,Victoria Azarenka,2015-07-03,2015.0,Wimbledon,-0.015350877192982455,0.0582655264938181,0.7812500174622987,0.7874015866287349,0.7575757274724029,1
12793,12793,Coco Vandeweghe,2015-07-03,2015.0,Wimbledon,0.022201665124884366,0.473850427995926,0.6211180069036246,0.6097561028796531,0.5714285714285714,1
12803,12803,Camila Giorgi,2015-07-04,2015.0,Wimbledon,0.16875,0.15304659886241243,0.3816794059846342,0.3816794059846342,0.35335689998550956,0
12802,12802,Casey Dellacqua,2015-07-04,2015.0,Wimbledon,0.0605296343001261,0.0,0.15384615384615385,0.17035775459896044,0.15151515370448654,0
12800,12800,Angelique Kerber,2015-07-04,2015.0,Wimbledon,-0.05,0.0,0.7692307974459868,0.7692307974459868,0.7352941099128922,0
12799,12799,Tatjana Maria,2015-07-04,2015.0,Wimbledon,0.0347985347985348,-0.025611020125373026,0.25,0.2463054221905688,0.2222222222222222,0
12798,12798,Petra Kvitova,2015-07-04,2015.0,Wimbledon,-0.4666666666666667,0.4469196804038625,0.8620689903229801,0.8620689903229801,0.8474576647889183,0
12797,12797,Magdalena Rybarikova,2015-07-04,2015.0,Wimbledon,-0.007187894073139975,0.0,0.6211180069036246,0.6134969343100499,0.5714285714285714,0
12796,12796,Sabine Lisicki,2015-07-04,2015.0,Wimbledon,0.011111111111111113,0.0,0.5555555702727522,0.5555555702727522,0.5319148949661531,0
12801,12801,Kristyna Pliskova,2015-07-04,2015.0,Wimbledon,0.013370646766169152,0.0,0.36363636363636365,0.36363636363636365,0.3367003334568775,0
12796,12796,Timea Bacsinszky,2015-07-04,2015.0,Wimbledon,-0.011111111111111113,0.0,0.5,0.5050505001853163,0.47619049781574513,1
12800,12800,Garbiñe Muguruza,2015-07-04,2015.0,Wimbledon,0.05,0.0,0.2857142857142857,0.2923976542958565,0.25,1
12797,12797,Olga Govortsova,2015-07-04,2015.0,Wimbledon,0.007187894073139975,0.0,0.4347826177095873,0.4424778779733619,0.4201680470233542,1
12798,12798,Jelena Jankovic,2015-07-04,2015.0,Wimbledon,0.4666666666666667,-0.4469196804038625,0.2,0.19267822523600453,0.16233766635888994,1
12799,12799,Madison Keys,2015-07-04,2015.0,Wimbledon,-0.0347985347985348,0.025611020125373026,0.8,0.8130081174740657,0.7692307974459868,1
12801,12801,Monica Niculescu,2015-07-04,2015.0,Wimbledon,-0.013370646766169152,0.0,0.6944444168497026,0.6944444168497026,0.6756756669679118,1
12802,12802,Agnieszka Radwanska,2015-07-04,2015.0,Wimbledon,-0.0605296343001261,0.0,0.900900889290549,0.8849557559467238,0.8620689903229801,1
12803,12803,Caroline Wozniacki,2015-07-04,2015.0,Wimbledon,-0.16875,-0.15304659886241243,0.6666666666666666,0.6756756669679118,0.6493506654355597,1
12807,12807,Garbiñe Muguruza,2015-07-06,2015.0,Wimbledon,0.15000000000000002,0.9106123120916574,0.4,0.41152262243946547,0.392156870078234,1
12808,12808,Jelena Jankovic,2015-07-06,2015.0,Wimbledon,0.043589743589743594,0.0,0.3333333333333333,0.32573290610586886,0.2890173378540068,0
12807,12807,Caroline Wozniacki,2015-07-06,2015.0,Wimbledon,-0.15000000000000002,-0.9106123120916574,0.6535947834637234,0.6410256645383223,0.6134969343100499,0
