,match_id,player,date,year,rankdist,wikibuzz,inverse_b365,inverse_avg,inverse_best,outcome
12776,12776,Rodina E.,2015-07-02,2015.0,0.02343234323432343,0.0,0.25,0.24691356861851216,0.2222222222222222,0
12785,12785,Tomljanovic A.,2015-07-02,2015.0,0.06457739791073125,0.0,0.16666666666666666,0.18181818181818182,0.1644736862743991,0
12784,12784,Kuznetsova S.,2015-07-02,2015.0,-0.03253731343283582,0.0,0.8196721119254039,0.8130081174740657,0.8,0
12783,12783,Cepelova J.,2015-07-02,2015.0,0.01139937106918239,0.0,0.2857142857142857,0.28818443566425855,0.26666666666666666,0
12782,12782,Lucic M.,2015-07-02,2015.0,0.031481481481481485,0.0,0.3816794059846342,0.3558718933676701,0.3278688575849198,0
12781,12781,Duan Y.Y.,2015-07-02,2015.0,0.004273504273504272,0.0,0.36363636363636365,0.3690036848426666,0.3472222084248513,0
12780,12780,Mchale C.,2015-07-02,2015.0,0.03993055555555555,0.0,0.25,0.2314814722832342,0.20790021037341902,0
12779,12779,Nara K.,2015-07-02,2015.0,0.4824561403508772,0.0,0.07692307692307693,0.08802817167447838,0.06920415316260517,0
12778,12778,Kulichkova E.,2015-07-02,2015.0,0.03844473569244211,0.0,0.2222222222222222,0.22675737746041494,0.2100840235116771,0
12777,12777,Pavlyuchenkova A.,2015-07-02,2015.0,0.0761904761904762,0.0,0.2,0.17921147198436385,0.15105740442404048,0
12775,12775,Cornet A.,2015-07-02,2015.0,-0.028840315725561623,0.0,0.6024096506672237,0.5952381138223105,0.5681818212605705,0
12774,12774,Arruabarrena L.,2015-07-02,2015.0,0.01948529411764706,0.0,0.15384615384615385,0.16474464113998485,0.14903129572502344,0
12773,12773,Svitolina E.,2015-07-02,2015.0,-0.04243008678881388,0.0,0.5464480746169359,0.5263157960780771,0.48780488939529254,0
12786,12786,Makarova E.,2015-07-02,2015.0,-0.10961538461538461,0.0,0.7518796749870864,0.7575757274724029,0.729927004758713,0
12773,12773,Dellacqua C.,2015-07-02,2015.0,0.04243008678881388,0.0,0.5464480746169359,0.5376344044672463,0.5181347291073825,1
12775,12775,Govortsova O.,2015-07-02,2015.0,0.028840315725561623,0.0,0.47619049781574513,0.4651162584386312,0.4444444444444444,1
12776,12776,Jankovic J.,2015-07-02,2015.0,-0.02343234323432343,0.0,0.8196721119254039,0.8130081174740657,0.7936507996578126,1
12777,12777,Kerber A.,2015-07-02,2015.0,-0.0761904761904762,0.0,0.8620689903229801,0.8771929934634618,0.8474576647889183,1
12778,12778,Keys M.,2015-07-02,2015.0,-0.03844473569244211,0.0,0.8474576647889183,0.8333333002196431,0.8,1
12779,12779,Kvitova P.,2015-07-02,2015.0,-0.4824561403508772,0.0,0.9615384968074834,0.9615384968074834,0.9523809956314903,1
12781,12781,Maria T.,2015-07-02,2015.0,-0.004273504273504272,0.0,0.7142857264499277,0.6944444168497026,0.6711409353016787,1
12782,12782,Muguruza G.,2015-07-02,2015.0,-0.031481481481481485,0.0,0.6944444168497026,0.704225373395827,0.6896551497342619,1
