,match_id,WTA,player,date,rankdist,wikibuzz,inverse_b365,inverse_best,inverse_avg,outcome,year
0,1540,34,Sloane Stephens,2016-07-02,-0.03751803751803752,-1.6113825378368387,0.8620689655172414,0.8264462809917356,0.8547008547008548,1,2016
2,1542,34,Petra Kvitova,2016-07-02,-0.07142857142857144,-1.0946600539505857,0.6944444444444444,0.684931506849315,0.7142857142857143,0,2016
3,1545,34,Anna-Lena Friedsam,2016-07-02,0.0028643036161833148,-0.1573949756920534,0.4347826086956522,0.4166666666666667,0.4464285714285714,0,2016
4,1546,34,Carina Witthoeft,2016-07-02,0.2408256880733945,0.047462436601069635,0.14285714285714285,0.1295336787564767,0.14771048744460857,0,2016
5,1547,34,Jana Cepelova,2016-07-02,0.026418242491657397,3.424081675495743,0.3333333333333333,0.30303030303030304,0.33003300330033003,0,2016
6,1548,34,Kiki Bertens,2016-07-02,0.1642857142857143,2.214593549874283,0.36363636363636365,0.3448275862068966,0.36363636363636365,0,2016
7,1549,34,Sabine Lisicki,2016-07-02,-0.0019290123456790122,0.3609319405388631,0.7352941176470588,0.7142857142857143,0.7352941176470588,0,2016
8,1550,34,Alize Cornet,2016-07-02,0.09471766848816028,-1.7823147221118083,0.18181818181818182,0.17391304347826086,0.19047619047619047,0,2016
9,1551,34,Eugenie Bouchard,2016-07-02,0.034722222222222224,1.4730525415010025,0.42194092827004215,0.4048582995951417,0.4273504273504274,0,2016
10,1552,34,Katerina Siniakova,2016-07-02,0.32456140350877194,1.7649482117773982,0.2,0.17391304347826086,0.1953125,0,2016
1,1541,34,Monica Niculescu,2016-07-02,0.06963249516441006,0.1701013694622795,0.26666666666666666,0.2597402597402597,0.28328611898017,0,2016
0,1540,34,Mandy Minella,2016-07-02,0.03751803751803752,1.6113825378368387,0.2,0.17857142857142858,0.20202020202020202,0,2016
10,1552,34,Agnieszka Radwanska,2016-07-02,-0.32456140350877194,-1.7649482117773982,0.8620689655172414,0.8333333333333334,0.8620689655172414,1,2016
9,1551,34,Dominika Cibulkova,2016-07-02,-0.034722222222222224,-1.4730525415010025,0.6369426751592356,0.6060606060606061,0.6289308176100629,1,2016
8,1550,34,Madison Keys,2016-07-02,-0.09471766848816028,1.7823147221118083,0.8771929824561404,0.7751937984496123,0.8695652173913044,1,2016
7,1549,34,Yaroslava Shvedova,2016-07-02,0.0019290123456790122,-0.3609319405388631,0.3076923076923077,0.29940119760479045,0.3215434083601286,1,2016
6,1548,34,Simona Halep,2016-07-02,-0.1642857142857143,-2.214593549874283,0.6944444444444444,0.6622516556291391,0.6944444444444444,1,2016
5,1547,34,Lucie Safarova,2016-07-02,-0.026418242491657397,-3.424081675495743,0.7142857142857143,0.641025641025641,0.7299270072992701,1,2016
4,1546,34,Angelique Kerber,2016-07-02,-0.2408256880733945,-0.047462436601069635,0.9090909090909091,0.8771929824561404,0.9090909090909091,1,2016
3,1545,34,Misaki Doi,2016-07-02,-0.0028643036161833148,0.1573949756920534,0.6211180124223602,0.5847953216374269,0.6097560975609756,1,2016
2,1542,34,Ekaterina Makarova,2016-07-02,0.07142857142857144,1.0946600539505857,0.36363636363636365,0.3194888178913738,0.3472222222222222,1,2016
1,1541,34,Timea Bacsinszky,2016-07-02,-0.06963249516441006,-0.1701013694622795,0.78125,0.7462686567164178,0.7751937984496123,1,2016
12,1554,34,Sloane Stephens,2016-07-03,0.02597402597402597,0.550427988101835,0.4444444444444444,0.4310344827586207,0.45248868778280543,0,2016
11,1553,34,Timea Bacsinszky,2016-07-03,-0.047430830039525695,0.06912762934778649,0.7142857142857143,0.6896551724137931,0.7142857142857143,0,2016
14,1556,34,Roberta Vinci,2016-07-03,-0.10952380952380952,-0.9880974024802223,0.26666666666666666,0.2518891687657431,0.2717391304347826,0,2016
13,1555,34,Julia Boserup,2016-07-03,0.015555555555555555,3.1939781362165194,0.2222222222222222,0.2061855670103093,0.2247191011235955,0,2016
16,1558,34,Barbora Strycova,2016-07-03,-0.009890109890109893,-2.464948519634142,0.5555555555555556,0.5,0.5376344086021505,0,2016
12,1554,34,Svetlana Kuznetsova,2016-07-03,-0.02597402597402597,-0.550427988101835,0.6369426751592356,0.5747126436781609,0.6024096385542169,1,2016
16,1558,34,Ekaterina Makarova,2016-07-03,0.009890109890109893,2.464948519634142,0.5,0.48780487804878053,0.5208333333333334,1,2016
14,1556,34,Coco Vandeweghe,2016-07-03,0.10952380952380952,0.9880974024802223,0.78125,0.7518796992481203,0.7874015748031495,1,2016
13,1555,34,Elena Vesnina,2016-07-03,-0.015555555555555555,-3.1939781362165194,0.8333333333333334,0.8064516129032259,0.8333333333333334,1,2016
11,1553,34,Anastasia Pavlyuchenkova,2016-07-03,0.047430830039525695,-0.06912762934778649,0.3333333333333333,0.3225806451612903,0.3448275862068966,1,2016
24,1566,34,Venus Williams,2016-07-04,-0.04166666666666667,0.8302065744808722,0.6024096385542169,0.5555555555555556,0.5813953488372093,1,2016
22,1564,34,Elena Vesnina,2016-07-04,0.00857142857142857,0.3871916443649539,0.36363636363636365,0.3460207612456747,0.37037037037037035,1,2016
21,1563,34,Yaroslava Shvedova,2016-07-04,0.02406609195402299,2.2357327860062055,0.47619047619047616,0.4347826086956522,0.47619047619047616,1,2016
20,1562,34,Simona Halep,2016-07-04,-0.0888888888888889,-2.091637917297353,0.47619047619047616,0.45454545454545453,0.4854368932038835,1,2016
19,1561,34,Dominika Cibulkova,2016-07-04,0.2777777777777778,0.9837320126696875,0.45454545454545453,0.4424778761061947,0.4566210045662101,1,2016
18,1560,34,Anastasia Pavlyuchenkova,2016-07-04,-0.010144927536231883,-2.622695541734674,0.25,0.2386634844868735,0.2631578947368421,1,2016
17,1559,34,Angelique Kerber,2016-07-04,-0.22959183673469388,-1.7868715059294504,0.8333333333333334,0.819672131147541,0.8333333333333334,1,2016
17,1559,34,Misaki Doi,2016-07-04,0.22959183673469388,1.7868715059294504,0.2222222222222222,0.20161290322580647,0.2232142857142857,0,2016
18,1560,34,Coco Vandeweghe,2016-07-04,0.010144927536231883,2.622695541734674,0.8,0.7633587786259541,0.7936507936507936,0,2016
19,1561,34,Agnieszka Radwanska,2016-07-04,-0.2777777777777778,-0.9837320126696875,0.6024096385542169,0.5649717514124294,0.5988023952095809,0,2016
20,1562,34,Madison Keys,2016-07-04,0.0888888888888889,2.091637917297353,0.5813953488372093,0.5405405405405405,0.5681818181818182,0,2016
21,1563,34,Lucie Safarova,2016-07-04,-0.02406609195402299,-2.2357327860062055,0.5813953488372093,0.5555555555555556,0.5813953488372093,0,2016
24,1566,34,Carla Suárez Navarro,2016-07-04,0.04166666666666667,-0.8302065744808722,0.45454545454545453,0.4444444444444444,0.47393364928909953,0,2016
22,1564,34,Ekaterina Makarova,2016-07-04,-0.00857142857142857,-0.3871916443649539,0.6944444444444444,0.6535947712418301,0.6896551724137931,0,2016
26,1568,34,Yaroslava Shvedova,2016-07-05,0.11458333333333333,0.6242385099745631,0.42194092827004215,0.4,0.4273504273504274,0,2016
26,1568,34,Venus Williams,2016-07-05,-0.11458333333333333,-0.6242385099745631,0.6369426751592356,0.6024096385542169,0.625,1,2016
25,1567,34,Angelique Kerber,2016-07-05,-0.04999999999999999,-0.10792098075100975,0.5813953488372093,0.5555555555555556,0.5747126436781609,1,2016
28,1570,34,Elena Vesnina,2016-07-05,0.03555555555555555,0.9294767537456763,0.3333333333333333,0.30303030303030304,0.33222591362126247,1,2016
28,1570,34,Dominika Cibulkova,2016-07-05,-0.03555555555555555,-0.9294767537456763,0.7142857142857143,0.684931506849315,0.7194244604316548,0,2016
25,1567,34,Simona Halep,2016-07-05,0.04999999999999999,0.10792098075100975,0.47619047619047616,0.45454545454545453,0.47619047619047616,0,2016
30,1572,34,Angelique Kerber,2016-07-07,-0.125,-0.09566833447854473,0.7518796992481203,0.7299270072992701,0.7462686567164178,1,2016
30,1572,34,Venus Williams,2016-07-07,0.125,0.09566833447854473,0.29411764705882354,0.273972602739726,0.3048780487804878,0,2016
34,1576,35,Kristina Kucova,2016-07-11,0.005151621589977753,-1.0986122886681096,0.5464480874316939,0.5128205128205129,0.5376344086021505,0,2016
32,1574,35,Anna Karolina Schmiedlova,2016-07-11,-0.01477485928705441,0.9918790891983114,0.6024096385542169,0.5780346820809249,0.6060606060606061,0,2016
67,1609,36,Ons Jabeur,2016-07-11,0.003277424330055908,-0.2763880658330221,0.4444444444444444,0.38759689922480617,0.4366812227074236,0,2016
65,1607,36,Barbara Haas,2016-07-11,0.00276166804750069,1.015251502434137,0.6024096385542169,0.5586592178770949,0.5813953488372093,0,2016
64,1606,36,Maria Sakkari,2016-07-11,0.0005602868668758403,0.6520671548164807,0.5813953488372093,0.5555555555555556,0.5882352941176471,0,2016
